author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
LinH,Lin,Huangxing,,male,24,675,28.125,2.5,69,8,167,706,10033,501
TanZ,Tan,ZhengHua,,,12,486,40.5,2.5,29,8,574,1042,6906,501
TanakaT,Tanaka,Tomohiro,,M,11,266,24.182,3.0,26,8,685,2222,11490,501
ZhuY,Zhu,Yanmin,,,28,331,11.821,3.0,79,8,127,1718,19633,501
ZhouT,Zhou,Tong,,,21,317,15.095,2.0,36,8,214,1805,16479,501
LinY,Lin,Yunwu,,,26,186,7.154,4.0,82,8,144,3172,25271,501
MendelM,Mendel,Manor,,,11,322,29.273,1.0,10,8,685,1774,9686,501
JordanM,Jordan,Michael,I,M,12,489,40.75,2.0,22,8,574,1032,6884,501
LinX,Lin,Xingqin,,,14,697,49.786,3.0,43,8,436,682,5607,501
GottschlichC,Gottschlich,Carsten,,M,8,270,33.75,1.5,8,8,1291,2195,8426,501
LiuM,Liu,Mengyi,,F,17,331,19.471,3.0,38,8,313,1718,13782,501
JacobsS,Jacobs,Swen,,,11,149,13.545,3.0,28,8,685,3951,17875,501
GeorgiouO,Georgiou,Orestis,,M,12,586,48.833,2.0,13,8,574,828,5723,501
GugercinS,Gugercin,Serkan,,M,11,300,27.273,2.0,15,8,685,1909,10355,501
ZhaoD,Zhao,Dapeng,,M,11,476,43.273,3.0,32,8,685,1085,6438,501
HuangT,Huang,Tiejun,,,13,415,31.923,3.0,35,8,498,1338,8991,501
TranN,Tran,Ngoc,Mai,,17,420,24.706,4.0,44,8,313,1320,11393,501
TranL,Tran,LeNam,,,9,564,62.667,3.0,24,8,1014,875,4358,501
GhoshA,Ghosh,Aayushman,,M,16,683,42.688,2.0,26,8,344,695,6552,501
LoogM,Loog,Marco,,M,9,365,40.556,2.0,10,8,1014,1544,6896,501
CapretzL,Capretz,Luiz,Fernando,,13,174,13.385,2.0,15,8,498,3385,17982,501
HuangW,Huang,Wei,,,20,534,26.7,2.0,39,8,231,935,10608,501
CaoM,Cao,Meng,,,14,466,33.286,2.0,21,8,436,1126,8477,501
VidalT,Vidal,Thibaut,,M,9,296,32.889,2.0,14,8,1014,1923,8681,501
IsgumI,Isgum,Ivana,,F,9,1183,131.444,5.0,20,8,1014,324,1687,501
TourneretJ,Tourneret,JeanYves,,M,9,509,56.556,4.0,26,8,1014,987,4841,501
VaswaniN,Vaswani,Namrata,,F,9,430,47.778,2.0,10,8,1014,1276,5867,501
BullL,Bull,Larry,,F,18,206,11.444,3.5,41,8,279,2880,19810,501
LiangJ,Liang,Jian,,,13,2085,160.385,4.0,45,8,498,140,1236,501
TianY,Tian,Yunke,,,11,705,64.091,3.0,31,8,685,676,4217,501
RenesJ,Renes,Joseph,M,M,14,849,60.643,1.5,14,8,436,520,4502,501
TorrP,Torr,Philip,H,M,8,917,114.625,6.0,37,8,1291,471,2048,501
HuertaE,Huerta,E,A,,10,632,63.2,2.0,26,8,827,763,4286,501
VenkataramananR,Venkataramanan,Ramji,,,13,173,13.308,2.0,14,8,498,3406,18024,501
GozalvezJ,Gozalvez,J,,,11,413,37.545,3.0,22,8,685,1343,7431,501
LiaoW,Liao,Weikeng,,,11,386,35.091,3.0,33,8,685,1457,7932,501
BiggioB,Biggio,Battista,,,11,1006,91.455,4.0,23,8,685,420,2712,501
ParriloP,Parrilo,Pablo,A,M,14,431,30.786,2.0,23,8,436,1270,9309,501
BrunoO,Bruno,O,M,,11,235,21.364,3.0,28,8,685,2509,12753,501
JamesA,James,Alex,Pappachen,,10,359,35.9,1.5,11,8,827,1580,7853,501
JangY,Jang,Yongseok,,,11,453,41.182,3.0,30,8,685,1175,6751,501
HanC,Han,Chia,Y,,9,163,18.111,2.0,11,8,1014,3590,14448,501
HanB,Han,Bin,,,12,213,17.75,3.0,28,8,574,2779,15002,501
RuanoD,Ruano,Diego,,M,14,143,10.214,3.0,12,8,436,4115,20932,501
TufvessonF,Tufvesson,Fredrik,,M,9,776,86.222,4.0,26,8,1014,589,2929,501
