author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
WinterA,Winter,Andreas,,M,35,1311,37.457,2.0,53,17,84,292,7361,65
ZhaoJ,Zhao,Jichao,,M,38,1024,26.947,3.0,105,16,72,418,10520,77
ZorziM,Zorzi,Michele,,F,23,2101,91.348,3.0,47,16,207,139,2672,77
YuanX,Yuan,Xiaojun,,M,29,1134,39.103,3.0,73,16,132,346,7022,77
HoraudR,Horaud,Radu,,,23,867,37.696,2.0,33,16,207,507,7325,77
WangR,Wang,Rui,,,34,970,28.529,3.0,91,16,91,445,9876,77
SwindlehurstA,Swindlehurst,A,Lee,,18,2490,138.333,2.0,22,16,325,116,1529,77
ChenM,Chen,Meng,,,35,1914,54.686,3.0,99,16,84,147,4968,77
SamekW,Samek,Wojciech,,M,21,3434,163.524,5.0,54,16,244,76,1180,77
SunY,Sun,Yin,,,42,1329,31.643,3.0,155,16,56,284,8920,77
GillisN,Gillis,Nicolas,,M,31,868,28.0,2.0,35,16,112,506,10075,77
GuptaA,Gupta,Amitava,,M,35,799,22.829,3.0,94,16,84,570,12217,77
HuangY,Huang,Yufei,,F,35,807,23.057,3.0,99,16,84,566,11853,77
SchoberR,Schober,Robert,,M,23,1530,66.522,2.0,39,15,207,226,4007,99
LiuZ,Liu,Zhiyang,,M,57,821,14.404,4.0,173,15,35,558,17379,99
SayedA,Sayed,Ali,H,,21,1078,51.333,2.0,32,15,244,378,5316,99
MouraJ,Moura,Jose,M,,19,1815,95.526,1.0,21,15,294,170,2505,99
SchniterP,Schniter,Philip,,M,22,1695,77.045,2.0,40,15,227,194,3300,99
KimS,Kim,Sang,Hyun,,51,898,17.608,4.0,137,15,42,481,15149,99
TaoD,Tao,Dacheng,,,22,1607,73.045,3.0,40,15,227,212,3510,99
ChoiJ,Choi,Jeongsik,,M,42,1296,30.857,2.0,84,15,56,297,9217,99
HuangK,Huang,Kaizhu,,,22,2781,126.409,2.0,49,15,227,97,1755,99
ChenL,Chen,Liang,,M,41,737,17.976,4.0,146,15,60,649,15083,99
QuekT,Quek,Tony,Q,,19,1356,71.368,3.0,50,15,294,266,3608,99
KayacanE,Kayacan,Erkan,,,18,873,48.5,2.5,7,15,325,503,5651,99
HanY,Han,YoSub,,,19,1843,97.0,3.0,49,15,294,162,2467,99
EladM,Elad,Michael,,M,21,1115,53.095,2.0,28,15,244,358,5091,99
YuenC,Yuen,Chau,,,20,1129,56.45,4.0,60,15,268,354,4786,99
LeeK,Lee,Kangwook,,,26,1227,47.192,2.5,67,15,163,316,5809,99
ZhaoQ,Zhao,Qidong,,M,22,2738,124.455,3.0,46,15,227,100,1811,99
KhanA,Khan,Abdul,Malik,M,35,2255,64.429,3.0,135,15,84,126,4157,99
KhanS,Khan,Sanaullah,,M,32,1291,40.344,3.0,95,15,103,299,6835,99
KaragiannidisG,Karagiannidis,George,K,M,20,1520,76.0,3.0,45,15,268,230,3369,99
AlonsoFernandezF,AlonsoFernandez,Fernando,,M,20,854,42.7,3.5,65,15,268,525,6456,99
KimY,Kim,Yuntae,,M,40,847,21.175,3.0,114,15,64,532,12807,99
RoyS,Roy,Sohom,,M,32,1094,34.188,3.0,79,15,103,373,8145,99
ZhouY,Zhou,Yang,,,39,927,23.769,3.0,109,15,69,470,11722,99
YangJ,Yang,Jian,,,42,1574,37.476,4.0,138,15,56,217,7360,99
vanGinnekenB,vanGinneken,Bram,,,20,7536,376.8,8.0,163,15,268,8,388,99
CintraR,Cintra,Renato,J,M,35,724,20.686,3.0,42,15,84,662,13200,99
LiuW,Liu,Wenjie,,F,41,1642,40.049,3.0,98,15,60,202,6848,99
DingZ,Ding,Zhiguo,,M,23,3893,169.261,3.0,54,15,207,65,1145,99
JinS,Jin,Shi,,,24,1747,72.792,4.0,56,15,187,183,3560,99
ChenB,Chen,Bo,,,34,1506,44.294,3.0,79,15,91,236,6199,99
